id,equipamento_id,data_movimentacao,origem_local,origem_unidade,destino_local,destino_unidade,tipo_movimento,responsavel,observacoes,contador_mono_anterior,contador_mono_novo,contador_color_anterior,contador_color_novo
1701,690,2026-05-30,CAT,,Amparo,,saida_cliente,,Envio para cliente,,,,
1702,868,2026-06-02,CAT,,Ame Carapicuiba,,saida_cliente,,Envio para cliente,,,,
1703,869,2026-06-04,CAT,,Pq Fernanda,,saida_cliente,,Envio para cliente,,,,
1704,869,2026-06-05,Pq Fernanda,,CAT,,retorno_cliente,,Retorno de cliente,,,,
1705,870,2026-06-05,Amparo,,CAT,,retorno_cliente,,Retorno de cliente,,,,
1706,871,2026-06-05,CAT,,Pq Fernanda,,saida_cliente,,Envio para cliente,,,,
1707,583,2026-06-02,CAT,,Centro de Exames da Mulher,,saida_cliente,,Envio para cliente,,,,
1708,583,2026-06-09,Centro de Exames da Mulher (Capela do Socorro) US,,CAT,,retorno_cliente,,Retorno de cliente,,,,
1709,802,2026-06-09,CAT,,Centro de exames da Mulher,,saida_cliente,,Envio para cliente,,,,
1710,872,2026-06-09,CEMEG Cantareira,,Centro de exames da Mulher Snova,,saida_cliente,,Envio para cliente,,,,
1711,873,2026-06-11,CAT,,R10,,envio_manutencao,,Envio para manutenção,,,,
1712,869,2026-06-11,CAT,,R10,,envio_manutencao,,Envio para manutenção,,,,
1713,874,2026-06-11,CAT,,R10,,envio_manutencao,,Envio para manutenção,,,,
1714,875,2026-06-11,CAT,,R10,,envio_manutencao,,Envio para manutenção,,,,
1715,876,2026-06-11,CAT,,R10,,envio_manutencao,,Envio para manutenção,,,,
1716,858,2026-06-11,CAT,,R10,,envio_manutencao,,Envio para manutenção,,,,
1717,877,2026-06-11,CAT,,R10,,envio_manutencao,,Envio para manutenção,,,,
1718,714,2026-06-11,Mercadão Morumbi,,R10,,retorno_cliente,,Retorno de cliente,,,,
1719,878,2026-06-11,R10,,Mercadão Morumbi,,saida_cliente,,Envio para cliente,,,,
1720,879,2026-06-13,CAT,,HD MboiMirim Vera Cruz,,saida_cliente,,Envio para cliente,,,,
1721,614,2026-06-13,HD MboiMirim Vera Cruz,,CAT,,retorno_cliente,,Retorno de cliente,,,,
1722,880,2026-06-13,CAT,,Complexo de Saúde Dr. Antonio João Abdalla ( Cajamar),,saida_cliente,,Envio para cliente,,,,
1723,881,2026-06-13,CAT,,Unidade Mista de Embu,,saida_cliente,,Envio para cliente,,,,
1724,607,2026-06-16,JD Angela,,CAT,,retorno_cliente,,Retorno de cliente,,,,
1725,882,2026-06-16,CAT,,JD Angela,,saida_cliente,,Envio para cliente,,,,
1726,809,2026-06-18,CAT,,Hosp do Homem RJ,,saida_cliente,,Envio para cliente,,,,
1727,883,2026-06-18,CAT,,Hosp do Homem RJ,,saida_cliente,,Envio para cliente,,,,
1728,714,2026-06-20,R10,,CAT,,retorno_manutencao,,Retorno de manutenção,,,,
1729,705,2026-06-20,Complexo de Saúde Dr. Antonio João Abdalla ( Cajamar),,CAT,,retorno_cliente,,Retorno de cliente,,,,
