id,codigo,tipo_equipamento,fabricante,modelo,numero_serie,patrimonio,status,unidade_id,local_atual_nome,cliente_atual,observacoes,contador_mono,contador_color,data_cadastro,ativo
622,RCH-IMP-000111,impressora,Epson,EPSON L1250,xbfr008013,,ativo,,Samir - Rondonia,,mangueira preta entupida,2871,0,2026-06-17 11:50:04,1
623,RCH-IMP-000112,impressora,Oki,OKI C711,ak67025073d0,,ativo,,R10 - SP,,Drum B - N reconhece,0,0,2026-06-17 11:50:04,1
624,RCH-IMP-000113,impressora,Oki,OKI C711,ak77045129,,ativo,,R10,,,78369,6829,2026-06-17 11:50:04,1
625,RCH-IMP-000114,impressora,Oki,OKIC831,al87031706,,ativo,,Hosp de Francsico Morato,,,22642,12,2026-06-17 11:50:04,1
626,RCH-IMP-000115,impressora,Epson,EPSON L1250,xbfr034401,,ativo,,AES São Bernado,,,9379,0,2026-06-17 11:50:04,1
627,RCH-IMP-000116,impressora,Oki,OKI C711,ak9b000031,,ativo,,Samir - Guarulhos - HMU,,,16348,26882,2026-06-17 11:50:04,1
628,RCH-IMP-000117,impressora,Oki,OKI C711,al6a010574,,ativo,,Americana,,,24,42849,2026-06-17 11:50:04,1
629,RCH-IMP-000118,impressora,Oki,OKI ES5112,ak53010451,,ativo,,RJ - São Gonçalo,,,116601,0,2026-06-17 11:50:04,1
630,RCH-IMP-000119,impressora,Oki,OKI ES5112,ak57014732,,ativo,,RJ Saõ Gonçalo,,,45073,0,2026-06-17 11:50:04,1
631,RCH-IMP-000120,impressora,Epson,EPSON L1250,xbfr034393,,ativo,,Centro de Exames da Mulher (Capela do Socorro) US,,,6218,0,2026-06-17 11:50:04,1
632,RCH-IMP-000121,impressora,Epson,EPSON L3110,x5eu273091,,ativo,,R10 - SP,,,18626,0,2026-06-17 11:50:04,1
633,RCH-IMP-000122,impressora,Oki,OKI ES5112,ak5c0345557,,ativo,,R10 - SP,,bandeja qubrada,135723,0,2026-06-17 11:50:04,1
634,RCH-IMP-000123,impressora,Oki,OKIC831,,,ativo,,R10,,,0,0,2026-06-17 11:50:04,1
635,RCH-IMP-000124,impressora,Oki,OKI C711,ak9c014370,,ativo,,Mercadão - Itanhem,,,23821,43043,2026-06-17 11:50:04,1
636,RCH-IMP-000125,impressora,Oki,OKIC831,al92029026,,ativo,,Vilhena (P),,,69902,19228,2026-06-17 11:50:04,1
637,RCH-IMP-000126,impressora,Oki,OKI ES4172,ak74007339b0,,ativo,,R10 - SP,,Peça quebrou,0,0,2026-06-17 11:50:04,1
638,RCH-IMP-000127,impressora,Hp,HP M479,cncrq1f0tl,,ativo,,R10,,,17125,49287,2026-06-17 11:50:04,1
639,RCH-IMP-000128,impressora,Epson,EPSON L3210,xaaa064208,,ativo,,Hisa,,,7389,0,2026-06-17 11:50:04,1
640,RCH-IMP-000129,impressora,Epson,EPSON L3110,x5eu271719,,ativo,,HC Campo Limpo,,,9605,0,2026-06-17 11:50:04,1
641,RCH-IMP-000130,impressora,Epson,EPSON L1250,xbfr042648,,ativo,,Biritiba Mirim,,,0,0,2026-06-17 11:50:04,1
642,RCH-IMP-000131,impressora,Epson,EPSON L1250,xbfr036375,,ativo,,Aes Brasilandia,,,12057,0,2026-06-17 11:50:04,1
643,RCH-IMP-000132,impressora,Oki,OKI ES5112,ak95000549,,ativo,,R10 - SP,,,110119,0,2026-06-17 11:50:04,1
644,RCH-IMP-000133,impressora,Oki,OKI ES5112,ak7b032343,,ativo,,Humana Ibirapuera,,,63067,0,2026-06-17 11:50:04,1
645,RCH-IMP-000134,impressora,Epson,EPSON L3250,xaabd53969,,ativo,,AES (São Bernado),,,0,0,2026-06-17 11:50:04,1
646,RCH-IMP-000135,impressora,Oki,OKI C711,ak06019110,,ativo,,R10 - SP,,,29481,96675,2026-06-17 11:50:04,1
647,RCH-IMP-000136,impressora,Oki,OKI C711,ak96000214,,ativo,,R10 - SP,,Fazendo barulho na drum M,71958,7904,2026-06-17 11:50:04,1
648,RCH-IMP-000137,impressora,Hp,HP M479,cnbmm8xbvb,,ativo,,R10,,,70360,0,2026-06-17 11:50:04,1
649,RCH-IMP-000138,impressora,Epson,EPSON L3250,Xaab369114,,ativo,,o.s Manutenção,,Imagem ruim,65806,0,2026-06-17 11:50:04,1
650,RCH-IMP-000139,impressora,Epson,EPSON L3210,Xaaa038105,,ativo,,o.s Manutenção,,Não reconhece papel,3382,0,2026-06-17 11:50:04,1
651,RCH-IMP-000140,impressora,Epson,EPSON L3150,X5ev000772,,ativo,,R10 - SP,,Não puxa papel,24002,0,2026-06-17 11:50:04,1
652,RCH-IMP-000141,impressora,Epson,EPSON L3210,xaaa126449,,ativo,,Samir - Espirito Santo  (BK),,,0,0,2026-06-17 11:50:04,1
653,RCH-IMP-000142,impressora,Epson,EPSON L1250,xbfr036340,,ativo,,Samir - Espirito Santo,,,0,0,2026-06-17 11:50:04,1
654,RCH-IMP-000143,impressora,Epson,EPSON L3150,x5ev160260,,ativo,,R10 - SP,,,839,0,2026-06-17 11:50:04,1
655,RCH-IMP-000144,impressora,Epson,EPSON L805,W7uk045435,,ativo,,R10 - SP,,Imagens ruins,21208,0,2026-06-17 11:50:04,1
656,RCH-IMP-000145,impressora,Hp,HP M4103,brbsr810bb,,ativo,,Porsche - Florianopolis,,,0,0,2026-06-17 11:50:04,1
657,RCH-IMP-000146,impressora,Oki,OKI C711,al29020155,,ativo,,R10 - SP,,,231,89669,2026-06-17 11:50:04,1
658,RCH-IMP-000147,impressora,Oki,OKI C711,AK77045151,,ativo,,Mercadão - Pirajussara,,,9338,3927,2026-06-17 11:50:04,1
659,RCH-IMP-000148,impressora,Oki,OKI C711,ak2002039,,ativo,,R10 - SP,,,41280,3416,2026-06-17 11:50:04,1
660,RCH-IMP-000149,impressora,Epson,EPSON L3250,xaab369114,,ativo,,AES Matriz,,,65806,0,2026-06-17 11:50:04,1
661,RCH-IMP-000150,impressora,Oki,OKI ES5112,,,ativo,,R10,,Queimou,0,0,2026-06-17 11:50:04,1
662,RCH-IMP-000151,impressora,Epson,EPSON L1250,xbfr043401,,ativo,,Upa Sta Helena,,,0,0,2026-06-17 11:50:04,1
663,RCH-IMP-000152,impressora,Epson,EPSON L1250,xbfr039748,,ativo,,Upa Samarino,,,0,0,2026-06-17 11:50:04,1
664,RCH-IMP-000153,impressora,Epson,EPSON L3210,xaaa038105,,ativo,,Upa Samarino,,,3382,0,2026-06-17 11:50:04,1
665,RCH-IMP-000154,impressora,Epson,EPSON L3150,x5eve08390,,ativo,,O.S Manutenção,,,2492,0,2026-06-17 11:50:04,1
666,RCH-IMP-000155,impressora,Epson,EPSON L3210,xaaa153030,,ativo,,R10 - SP,,,11565,0,2026-06-17 11:50:04,1
